,counts,Fitted
0,19,19.0
1,16,18.99999998807907
2,12,18.850000000596047
3,12,18.507500024408102
4,17,18.182125047029555
5,8,18.123018818519935
6,13,17.616867883554402
7,17,17.38602452513947
8,20,17.36672332272435
9,15,17.498387156588134
10,16,17.373467798758725
11,14,17.304794420741718
12,12,17.139554687783704
13,13,16.882576977236376
14,18,16.68844816413734
15,15,16.75402579169326
16,15,16.666324502108594
17,15,16.583008277003163
18,10,16.503857863153
19,20,16.178664969995353
20,17,16.369731721495583
21,14,16.40124515926266
22,11,16.2811828893786
23,12,16.017123756830596
24,19,15.816267592830924
25,8,15.975454201268448
26,12,15.57668149716549
27,15,15.397847446149072
28,14,15.377955073841617
29,12,15.309057308228606
30,13,15.143604466659033
31,10,15.036424279088868
32,18,14.784603065134423
33,22,14.945372947640488
34,17,15.29810432410032
35,14,15.383199131737161
36,15,15.314039163229374
37,15,15.298337205067904
38,20,15.283420344814509
39,13,15.519249327573784
40,13,15.39328689695788
41,15,15.273622587872772
42,16,15.259941458479133
43,18,15.296944397476105
44,12,15.432097213365086
45,13,15.26049237653869
46,14,15.147467793474542
47,16,15.090094391879886
48,13,15.135589684206819
49,8,15.028810235759265
50,12,14.677369729931765
51,15,14.543501267277035
52,11,14.566326203913183
53,9,14.388009905638452
54,15,14.118609428237923
55,11,14.162678956826026
56,14,14.004545020905653
57,15,14.00431775793944
58,17,14.054101870042468
59,11,14.201396800382202
60,14,14.04132697228402
61,19,14.03926061174889
62,12,14.287297569240517
63,13,14.172932714620348
64,18,14.114286114652117
65,13,14.308571844682298
66,16,14.24314328821097
67,16,14.33098613572135
68,6,14.414436840856212
69,5,13.993715010734329
70,17,13.544029260197611
71,11,13.716827821029588
72,19,13.580986441899038
73,10,13.851937107883156
74,12,13.659340252488997
75,16,13.576373263706405
76,12,13.697554612442012
77,13,13.612676905661768
78,12,13.582043096141467
79,21,13.50294096517625
80,6,13.877793988443011
81,11,13.48390430094179
82,15,13.359709097815628
83,17,13.441723642924845
84,21,13.61963748462046
